來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
公共設施,D0609,,萬佛庵,Bān-hu̍t-am,,,,van  fud amˊ,,,D0609_萬佛庵.mp3
公共設施,D0610,,獅山古道,Sai-suann Kóo-tō,,,,siiˊ sanˊ guˋ to,,,D0610_獅山古道.mp3
公共設施,D0611,,猿山步道,Uân-suann Pōo-tō,,,,ienˇ sanˊ pu to,,,D0611_猿山步道.mp3
公共設施,D0612,,通安步道,Thong-an Pōo-tō,,,,tungˊ onˊ pu to,,,D0612_通安步道.mp3
公共設施,D0613,,桂花巷,Kuì-hue-hāng,,,,gui faˊ hong,,,D0613_桂花巷.mp3
公共設施,D0614,,峨眉湖環湖步道,Ge̍h-bâi-ôo Khuân-ôo Pōo-tō,,,,ngoˇ  miˇ  fuˇ fanˇ fuˇ pu to,,,D0614_峨眉湖環湖步道.mp3
公共設施,D0615,,南庄老街,Lâm-tsng Kū-ke,,,,namˇ zongˊ loˋ gieˊ,,,D0615_南庄老街.mp3
公共設施,D0616,,金剛寺,Kim-kong-sī,,,,gimˊ gongˊ sii,,,D0616_金剛寺.mp3
公共設施,D0617,,向天湖,Hiòng-thian-ôo,,,,ngongˇ  tienˊ fuˇ,,昂天湖,D0617_向天湖.mp3
公共設施,D0618,,北埔冷泉,Pak-poo Líng-tsuânn,,,,bedˋ puˊ langˊ qienˇ,,,D0618_北埔冷泉.mp3
公共設施,D0619,,北埔老街,Pak-poo Kū-ke,,,,bedˋ puˊ loˋ gieˊ,,,D0619_北埔老街.mp3
公共設施,D0620,,加里山步道,Ka-lí-san Pōo-tō,,,,gaˊ liˊ sanˊ pu to,,,D0620_加里山步道.mp3
公共設施,D0621,,仙山,Sian-san,,,,xienˊ sanˊ,,,D0621_仙山.mp3
公共設施,D0622,,水濂橋步道,Tsuí-liâm-kiô Pōo-tō,,,,suiˋ liamˇ kieuˇ pu to,,,D0622_水濂橋步道.mp3
公共設施,D0623,,六寮步道,La̍k-liâu Pōo-tō,,,,liugˋ liauˇ pu to,,,D0623_六寮步道.mp3
公共設施,D0624,,五指山風景區,Ngóo-tsí-suann Hong-kíng-khu,,,,ngˋ ziiˋ sanˊ fungˊ ginˋ kiˊ,,,D0624_五指山風景區.mp3
公共設施,D0625,,山塘背登山步道,Suann-tn̂g-puè Ting-san Pōo-tō,,,,sanˊ tongˇ boi denˊ sanˊ pu to,,,D0625_山塘背登山步道.mp3
公共設施,D0626,,小東河登山步道,Sió-tang-hô Ting-san Pōo-tō,,,,seuˋ dungˊ hoˇ denˊ sanˊ pu to,,,D0626_小東河登山步道.mp3
公共設施,D0627,,十二寮步道,Tsa̍p-jī-liâu Pōo-tō,,,,siib ngi liauˇ pu to,,,D0627_十二寮步道.mp3
公共設施,D0628,,二寮神木,Jī-liâu Sîn-bo̍k,,,,ngi liauˇ siinˇ mugˋ,,,D0628_二寮神木.mp3
公共設施,D0629,,峨眉湖,Ge̍h-bâi-ôo,,,,ngoˇ miˇ fuˇ,,,D0629_峨眉湖.mp3
公共設施,D0630,,南庄遊客中心,Lâm-tsng Iû-kheh Tiong-sim,,,,namˇ zongˊ iuˇ hagˋ zungˊ ximˊ,,,D0630_南庄遊客中心.mp3
公共設施,D0631,,獅山遊客中心,Sai-suann Iû-kheh Tiong-sim,,,,siiˊ sanˊ iuˇ hagˋ zungˊ ximˊ,,,D0631_獅山遊客中心.mp3
公共設施,D0632,,八仙山森林遊樂區,Pat-sian-suann Sim-lîm Iû-lo̍k-khu,,,,badˋ xienˊ sanˊ semˊ limˇ iuˇ log kiˊ,,,D0632_八仙山森林遊樂區.mp3
公共設施,D0633,,谷關大道院,Kok-kuan Tuā-tō-īnn,,,,gugˋ guanˊ tai to ien,,,D0633_谷關大道院.mp3
公共設施,D0634,,谷關大橋,Kok-kuan Tuā-kiô,,,,gugˋ guanˊ tai kieuˇ,,,D0634_谷關大橋.mp3
公共設施,D0635,,谷關吊橋,Kok-kuan Tiàu-kiô,,,,gugˋ guanˊ diau kieuˇ,,,D0635_谷關吊橋.mp3
公共設施,D0636,,谷關街道,Kok-kuan ke-tō,,,,gugˋ guanˊ gieˊ to,,,D0636_谷關街道.mp3
公共設施,D0637,,谷關溫泉公園,Kok-kuan Un-tsuânn Kong-hn̂g,,,,gugˋ guanˊ vunˊ qienˇ gungˊ ienˇ,,,D0637_谷關溫泉公園.mp3
公共設施,D0638,,東勢林場,Tang-sì Lîm-tiûnn,,,,dungˊ sii limˇ congˇ,,,D0638_東勢林場.mp3
公共設施,D0639,,紅香溫泉,Hông-hiong Un-tsuânn,,,,fungˇ hiongˊ vunˊ qienˇ,,,D0639_紅香溫泉.mp3
公共設施,D0640,,捎來吊橋,Sau-lâi Tiàu-kiô,,,,seuˊ loiˇ diau kieuˇ,,,D0640_捎來吊橋.mp3
公共設施,D0641,,捎來步道,Sau-lâi Pōo-tō,,,,seuˊ loiˇ pu to,,,D0641_捎來步道.mp3
公共設施,D0642,,梨山生態步道,Lê-san Sing-thài Pōo-tō,,,,liˇ sanˊ senˊ tai pu to,,,D0642_梨山生態步道.mp3
公共設施,D0643,,梨山賓館,Lê-san Pin-kuán,,,,liˇ sanˊ binˊ gonˋ,,,D0643_梨山賓館.mp3
公共設施,D0644,,溫泉文化館,Un-tsuânn Bûn-huà-kuán,,,,vunˊ qienˇ vunˇ fa gonˋ,,,D0644_溫泉文化館.mp3
公共設施,D0645,,觀音瀑布,Kuan-im Tsuí-tshiâng,,,觀音水沖,gonˊ  imˊ  suiˋ cungˇ,,觀音水沖,D0645_觀音瀑布.mp3
公共設施,D0646,,谷關溫泉,Kok-kuan Un-tsuânn,,,,gugˋ guanˊ vunˊ qienˇ,,,D0646_谷關溫泉.mp3
公共設施,D0647,,梨山文物館,Lê-san Bûn-bu̍t-kuán,,,,liˇ sanˊ vunˇ vud gonˋ,,,D0647_梨山文物館.mp3
公共設施,D0648,,福壽山農場,Hok-siū-suann Lông-tiûnn,,,,fugˋ su sanˊ nungˇ congˇ,,,D0648_福壽山農場.mp3
公共設施,D0649,,梨山遊客中心,Lê-san Iû-kheh Tiong-sim,,,,liˇ sanˊ iuˇ hagˋ zungˊ ximˊ,,,D0649_梨山遊客中心.mp3
公共設施,D0650,,七星陣地公園,Tshit-tshenn Tīn-tē Kong-hn̂g,,,,qidˋ senˊ ciin ti gungˊ ienˇ,,,D0650_七星陣地公園.mp3
公共設施,D0651,,二水自行車道,Jī-tsuí Kha-ta̍h-tshia-tō,,,二水跤踏車道,ngi suiˋ cii hangˇ caˊ to,,,D0651_二水自行車道.mp3
公共設施,D0652,,二水登廟步道,Jī-tsuí Ting-biō Pōo-tō,,,,ngi suiˋ denˊ meu pu to,,,D0652_二水登廟步道.mp3
公共設施,D0653,,二水豐柏廣場,Jī-tsuí Hong-phik Kóng-tiûnn,,,,ngi suiˋ fungˊ bagˋ gongˋ congˇ,,,D0653_二水豐柏廣場.mp3
公共設施,D0654,,八堡圳公園,Pat-pó-tsùn Kong-hn̂g,,,,badˋ boˋ zun gungˊ ienˇ,,,D0654_八堡圳公園.mp3
公共設施,D0655,,大佛風景區,Tuā-hu̍t Hong-kíng-khu,,,,tai fud fungˊ ginˋ kiˊ,,,D0655_大佛風景區.mp3
公共設施,D0656,,田尾公路花園,Tshân-bué Kong-lōo Hue-hn̂g,,,,tienˇ miˊ gungˊ lu faˊ ienˇ,,,D0656_田尾公路花園.mp3
公共設施,D0657,,百果山登山步道群,Peh-kó-suann Ting-san Pōo-tō,,,,bagˋ goˋ sanˊ denˊ sanˊ pu to kiunˇ,,,D0657_百果山登山步道群.mp3
公共設施,D0658,,老樟母女樹,Tsiunn-tshiū-kong,,,樟樹公,loˋ zongˊ muˊ ngˋ su,,,D0658_老樟母女樹.mp3
公共設施,D0659,,抗日烈士紀念碑公園,Khòng-ji̍t Lia̍t-sū Kì-liām-pi Kong-hn̂g,,,,kongˋ ngidˋ lied sii gi ngiam biˊgungˊ ienˇ,,,D0659_抗日烈士紀念碑公園.mp3
公共設施,D0660,,赤水崎園區,Tshiah-tsuí-kiā hn̂g-khu,,,,cagˋ suiˋ gia ienˇ kiˊ,,,D0660_赤水崎園區.mp3
公共設施,D0661,,受天宮,Siū-thian-kiong,,,口語慣稱松柏坑Tshîng-peh-khenn,su tienˊ giungˊ,,,D0661_受天宮.mp3
公共設施,D0662,,林先生廟,Lîm-sian-sinn-biō,,,,limˇ xinˊ sangˊ meu,,,D0662_林先生廟.mp3
公共設施,D0663,,長青自行車道,Tiông-tshing Kha-ta̍h-tshia-tō,,,,congˇ qiangˊ cii hangˇ caˊ to,,,D0663_長青自行車道.mp3
公共設施,D0664,,鹿港古蹟,Lo̍k-káng Kóo-tsik,,,,lug gongˋ guˋ jidˋ,,,D0664_鹿港古蹟.mp3
公共設施,D0665,,猴探井遊憩區,Kâu-thàm-tsénn Iû-kheh-khu,,,,heuˇ tam jiangˋ iuˇ liau kiˊ,,猴探井遊尞區,D0665_猴探井遊憩區.mp3
公共設施,D0666,,華陽公園,Huâ-iông Kong-hn̂g,,,,faˇ iongˇ gungˊ ienˇ,,,D0666_華陽公園.mp3
公共設施,D0667,,橫山地區,Huâinn-suann Tē-khu,,,,vangˇ sanˊ ti kiˊ,,,D0667_橫山地區.mp3
公共設施,D0668,,龍仔頭山,Liông-á-thâu-suann,,,,liungˇ eˋ teuˇ sanˊ,,,D0668_龍仔頭山.mp3
公共設施,D0669,,寶藏寺,Pó-tsōng-sī,,,,boˋ cong sii,,,D0669_寶藏寺.mp3
公共設施,D0670,,猴探井,Kâu-thàm-tsénn,,,,heuˇ tam jiangˋ,,,D0670_猴探井.mp3
公共設施,D0671,,清水岩寺,Tshing-tsuí-giâm,,,清水巖,qinˊ suiˋ ngamˇ sii,,,D0671_清水岩寺.mp3
公共設施,D0672,,茶香步道,Tê-hiong Pōo-tō,,,,caˇ hiongˊ pu to,,,D0672_茶香步道.mp3
公共設施,D0673,,百果山,Pah-kó-suann,,,,bagˋ goˋ sanˊ,,,D0673_百果山.mp3
公共設施,D0674,,田中森林公園,Tiân-tiong Sim-lîm Kong-hn̂g,,,,tienˇ zungˊ semˊ limˇgungˊ ienˇ,,,D0674_田中森林公園.mp3
公共設施,D0675,,八卦山大佛,Pat-kuà-suann Tuā-hu̍t,,,,badˋ gua sanˊ tai fud,,,D0675_八卦山大佛.mp3
公共設施,D0676,,虎山岩寺,Hóo-suann-giâm,,,虎山巖,fuˋ sanˊ ngamˇ sii,,,D0676_虎山岩寺.mp3
公共設施,D0677,,八卦山脈生態遊客中心,Pat-kuà-suann-me̍h Sing-thài Iû-kheh Tiong-sim,,,,badˋ gua sanˊ magˋ senˊ tai iuˇ hagˋ zungˊ ximˊ,,,D0677_八卦山脈生態遊客中心.mp3
公共設施,D0678,,松柏嶺遊客中心,Tshîng-peh-khenn Iû-kheh Tiong-sim,,,松柏坑遊客中心,qiungˇ bagˋ liangˊ iuˇ hagˋ zungˊ ximˊ,,,D0678_松柏嶺遊客中心.mp3
公共設施,D0679,,橫山,Huâinn-suann,,,,vangˇ sanˊ,,,D0679_橫山.mp3
公共設施,D0680,,賞鷹平台,Siúnn-ing Pîng-tâi,,,,songˋ enˊ piangˇ toiˇ,,,D0680_賞鷹平台.mp3
公共設施,D0681,,碧山岩寺,Phik-suann-giâm,,,碧山巖,bidˋ sanˊ ngamˇ sii,,,D0681_碧山岩寺.mp3
公共設施,D0682,,七股潟湖,Lāi-hái-á,,,內海仔,qidˋ guˋ xidˋ fuˇ,,,D0682_七股潟湖.mp3
公共設施,D0683,,四草綠色隧道,Sì-tshó Li̍k-sik Pōng-khang,,,四草綠色磅空,xi coˋ liug sedˋ sui to,,,D0683_四草綠色隧道.mp3
公共設施,D0684,,好美寮自然保護區,Hóo-bué-liâu Tsū-jiân Pó-hōo-khu,,,虎尾寮自然保護區,hoˋ miˊ liauˇ cii ienˇ boˋ fu kiˊ,,,D0684_好美寮自然保護區.mp3
公共設施,D0685,,青鯤鯓扇形鹽田,Tshenn-khun-sin (Sìnn-hîng) Iâm-tiann,,,青鯤鯓（扇形）鹽埕,qiangˊ kunˊ siinˊ san hinˇ iamˇ tienˇ,,,D0685_青鯤鯓扇形鹽田.mp3
公共設施,D0686,,臺灣極西點國聖港燈塔,Kok-sìng-káng Ting-thah,,,國聖港燈塔,toiˇ vanˇ kid xiˊ diamˋ guedˋ siin gongˋ denˊ toiˇ,,臺灣極西點國聖港燈臺,D0686_臺灣極西點國聖港燈塔.mp3
公共設施,D0687,,頂山賞鳥亭,Tíng-suann-á Siúnn-tsiáu-tîng,,,頂山仔賞鳥亭,dangˋ sanˊ songˋ diauˊ tinˇ,,,D0687_頂山賞鳥亭.mp3
公共設施,D0688,,臺灣烏腳病醫療紀念館,Tâi-uân Oo-kha-pēnn I-liâu Kì-liām-kuán,,,臺灣烏跤病醫療紀念館,toiˇ vanˇ vuˊ giogˋ piang iˊ liauˇ gi ngiam gonˋ,,,D0688_臺灣烏腳病醫療紀念館.mp3
公共設施,D0689,,鹽田生態文化村,Iâm-tshân Sing-thài Bûn-huà-tshun (Lâm-liâu),,,鹽田生態文化村（南寮）,iamˇ tienˇ senˊ tai vunˇfa cunˊ,,,D0689_鹽田生態文化村.mp3
公共設施,D0690,,金湖休閒農業區,Kim-ôo Hiu-hân Lông-gia̍p-khu,,,,gimˊ fuˇ hiuˊ hanˇ nungˇ ngiab kiˊ,,,D0690_金湖休閒農業區.mp3
公共設施,D0691,,海口故事園區,Hái-kháu Kòo-sū Hn̂g-khu,,,,hoiˋ kieuˋ gu sii ienˇ kiˊ,,,D0691_海口故事園區.mp3
公共設施,D0692,,成龍溼地,Sîng-liông Sip-tē,,,,siinˇ liungˇ siibˋ ti,,,D0692_成龍溼地.mp3
公共設施,D0693,,四湖海岸植物園,Sì-ôo Hái-huānn Si̍t-bu̍t-hn̂g,,,,xi fuˇ hoiˋ ngan ciid vud ienˇ,,,D0693_四湖海岸植物園.mp3
公共設施,D0694,,口湖椬梧滯洪池景觀公園,Kháu-ôo Khī-gôo Tī-hông-tî Kíng-kuan Kong-hn̂g,,,,kieuˋ fuˇ ngiˇ ngˇ cii fungˇ ciiˇ ginˋ gonˊ gungˊ ienˇ,,,D0694_口湖梧滯洪池景觀公園.mp3
公共設施,D0695,,口湖遊客中心,Kháu-ôo Iû-kheh Tiong-sim,,,,kieuˋ fuˇ iuˇ hagˋ zungˊ ximˊ,,,D0695_口湖遊客中心.mp3
公共設施,D0696,,三條崙沙洲,Sann-tiâu-lūn Sua-suànn,,,三條崙沙汕,samˊ tiauˇ lun saˊ zuˊ,,,D0696_三條崙沙洲.mp3
公共設施,D0697,,鰲鼓溼地森林園區,Gōo-kóo Sip-tē Sim-lîm Hn̂g-khu,,,,ngauˇ guˋ siibˋ ti semˊ limˇ ienˇ kiˊ,,,D0697_鰲鼓溼地森林園區.mp3
公共設施,D0698,,觀海樓,Kuan-hái-lâu,,,,gonˊ hoiˋ leuˇ,,,D0698_觀海樓.mp3
公共設施,D0699,,高跟鞋教堂,Kuân-tah-ê Kàu-tn̂g,,,懸踏鞋教堂,goˊ zangˊ haiˇ gau tongˇ,,高㬹鞋教堂,D0699_高跟鞋教堂.mp3
公共設施,D0700,,東石漁人碼頭,Tang-tsio̍h Hî-jîn Bé-thâu,,,,dungˊ sag ngˇ nginˇ maˊ teuˇ,,,D0700_東石漁人碼頭.mp3
公共設施,D0701,,東石自然生態展示館,Tang-tsio̍h Tsū-jiân Sing-thài Tián-sī-kuán,,,,dungˊ sag cii ienˇ senˊ tai zanˋ sii gonˋ,,,D0701_東石自然生態展示館.mp3
公共設施,D0702,,朴子溪口溼地,Phoh-tsú khe-kháu Sip-tē,,,,pogˋ ziiˋ haiˊ heuˋ siibˋ ti,,,D0702_朴子溪口溼地.mp3
公共設施,D0703,,布袋觀光漁市,Pòo-tē Kuan-kong Hî-tshī,,,,bu toi gonˊ gongˊ ngˇ sii,,,D0703_布袋觀光漁市.mp3
公共設施,D0704,,布袋鹽山,Pòo-tē Iâm-suann,,,,bu toi iamˇ sanˊ,,,D0704_布袋鹽山.mp3
公共設施,D0705,,布袋溼地公園,Pòo-tē Sip-tē Kong-hn̂g,,,,bu toi siibˋ ti gungˊ ienˇ,,,D0705_布袋溼地公園.mp3
公共設施,D0706,,外傘頂洲燈塔,Guā-suànn-tíng-tsiu Ting-thah,,,,ngo sanˊ dangˋ zuˊ denˊ toiˇ,,外汕頂洲燈臺,D0706_外傘頂洲燈塔.mp3
公共設施,D0707,,外傘頂洲,Guā-suànn-tíng,,,外汕頂,ngo sanˊ dangˋzuˊ,,外汕頂洲,D0707_外傘頂洲.mp3
公共設施,D0708,,雙春濱海遊憩區,Siang-tshun Pin-hái Iû-khè-khu,,,,sungˊ cunˊ binˊ hoiˋ iuˇ liau kiˊ,,雙春濱海遊尞區,D0708_雙春濱海遊憩區.mp3
公共設施,D0709,,黑面琵鷺生態展示館,Oo-bīn-lā-pue Sing-thài Tián-sī-kuán,,,烏面抐桮生態展示館,vuˊ mien piˇ lu senˊ tai zanˋ sii gonˋ,,烏面琵鷺生態展示館,D0709_黑面琵鷺生態展示館.mp3
公共設施,D0710,,馬沙溝濱海遊憩區,Bé-sua-kau Pin-hái Iû-khè-khu,,,,maˊ saˊ gieuˊ binˊ hoiˋ iuˇ liau kiˊ,,馬沙溝濱海遊尞區,D0710_馬沙溝濱海遊憩區.mp3
公共設施,D0711,,四草野生動物保護區,Sì-tshó Iá-sing Tōng-bu̍t Pó-hōo-khu,,,,xi coˋ iaˊ sangˊ tung vud boˋ fu kiˊ,,,D0711_四草野生動物保護區.mp3
公共設施,D0712,,台灣鹽博物館,Tâi-uân Iâm Phok-bu̍t-kuán,,,,toiˇ vanˇ iamˇ bogˋ vud gonˋ,,,D0712_台灣鹽博物館.mp3
公共設施,D0713,,北門遊客中心,Pak-mn̂g Iû-kheh Tiong-sim,,,,bedˋ munˇ iuˇ hagˋ zungˊ ximˊ,,,D0713_北門遊客中心.mp3
公共設施,D0714,,王爺信仰文物館,Ông-iâ Sìn-gióng Bûn-bu̍t-kuán,,,,vongˇ iaˇ xin ngiongˋ vunˇ vud gonˋ,,,D0714_王爺信仰文物館.mp3
公共設施,D0715,,井仔腳瓦盤鹽田,Tsínn-á-kha Hiā-puânn Iâm-tiânn,,,井仔腳瓦盤鹽埕,jiangˋ eˋ giogˋ ngaˋ panˇ iamˇ tienˇ,,,D0715_井仔腳瓦盤鹽田.mp3
公共設施,D0716,,七股鹽山,Tshit-kóo Iâm-suann,,,,qidˋ guˋ iamˇ sanˊ,,,D0716_七股鹽山.mp3
公共設施,D0717,,七股遊客中心,Tshit-kóo Iû-kheh Tiong-sim,,,,qidˋ guˋ iuˇ hagˋ zungˊ ximˊ,,,D0717_七股遊客中心.mp3
公共設施,D0718,,鯨魚洞,King-hû-tōng,,,,ginˊ ngˇ tung,,,D0718_鯨魚洞.mp3
公共設施,D0719,,雞善嶼,Kue-siān-sū,,,,gieˊ san iˊ,,,D0719_雞善嶼.mp3
公共設施,D0720,,雞母塢古宅,Kue-bú-ù Kóo-the̍h,,,,gieˊ maˇ vuˊ loˋ vugˋ,,雞嫲塢老屋,D0720_雞母塢古宅.mp3
公共設施,D0721,,鎮海城遺址,Tìn-hái-siânn Uî-tsí,,,,ziinˋ hoiˋ sangˇ viˇ ziiˋ,,,D0721_鎮海城遺址.mp3
公共設施,D0722,,鎖港南北石塔,Sióng-káng Lâm-pak Tsio̍h-thah,,,,soˋ gongˋ namˇ bedˋ sag tabˋ,,,D0722_鎖港南北石塔.mp3
公共設施,D0723,,龍埕,Tâm-tiânn,,,澹埕,liungˇ tangˇ,,,D0723_龍埕.mp3
公共設施,D0724,,龍門濱海園區,Liông-bûn Pin-hái Hn̂g-khu,,,良文濱海園區,liungˇ munˇ binˊ hoiˋ ienˇ kiˊ,,,D0724_龍門濱海園區.mp3
公共設施,D0725,,鴛鴦窟,Uan-iunn-khut,,,,ienˊ  iongˊ  fudˋ,,,D0725_鴛鴦窟.mp3
公共設施,D0726,,頭巾嶼,Thâu-kun-sū,,,,teuˇ ginˊ iˊ,,,D0726_頭巾嶼.mp3
公共設施,D0727,,險礁嶼,Hiám-ta-sū,,,,hiamˋ zeuˊ iˊ,,,D0727_險礁嶼.mp3
公共設施,D0728,,錠鉤嶼,Tiànn-kau-sū,,,,tin gieuˊ iˊ,,,D0728_錠鉤嶼.mp3
公共設施,D0729,,貓嶼,Bâ-sū,,,,meu iˊ,,,D0729_貓嶼.mp3
公共設施,D0730,,螃蟹博物館,Pông-hē Phok-bu̍t-kuán,,,私人所有，故採字面發音,mo haiˋ bogˋ vud gonˋ,,毛蟹博物館,D0730_螃蟹博物館.mp3
公共設施,D0731,,蔡廷蘭進士第,Tshuah Tîng-lân Tsìn-sū-tē,,,,cai tinˇ lanˇ jin sii ti,,,D0731_蔡廷蘭進士第.mp3
公共設施,D0732,,澎澎灘,"Phông-phông-than (Ua̍h-lîng-tóo, Lîng-á)",,,又名活龍島、砱仔,pangˇ pangˇ tanˊ,,,D0732_澎澎灘.mp3
公共設施,D0733,,澎湖廳憲兵隊,Phînn-ôo-thiann Hiàn-ping-tuī,,,,piangˇ fuˇ tangˊ hienˋ binˊ cui,,,D0733_澎湖廳憲兵隊.mp3
公共設施,D0734,,澎湖警察文物館,Phînn-ôo Kìng-tshat Bûn-bu̍t-kuán,,,,piangˇ fuˇ ginˋ cadˋ vunˇ vud gonˋ,,,D0734_澎湖警察文物館.mp3
公共設施,D0735,,澎湖跨海大橋,Phînn-ôo Khuà-hái Tuā-kiô,,,,piangˇ fuˇ kua hoiˋ tai kieuˇ,,,D0735_澎湖跨海大橋.mp3
公共設施,D0736,,澎湖郵便局,Phînn-ôo Iû-piān-kio̍k,,,,piangˇ fuˇ iuˇ pien kiug,,,D0736_澎湖郵便局.mp3
公共設施,D0737,,澎湖生活博物館,Phînn-ôo Sing-ua̍h Phok-bu̍t-kuán,,,,piangˇ fuˇ senˊ fad bogˋ vud gonˋ,,,D0737_澎湖生活博物館.mp3
公共設施,D0738,,澎湖水族館,Phînn-ôo Tsuí-tso̍k-kuán,,,,piangˇ fuˇ suiˋ cug gonˋ,,,D0738_澎湖水族館.mp3
公共設施,D0739,,澎湖文化園區,Phînn-ôo Bûn-huà Hn̂g-khu,,,,piangˇ fuˇ vunˇ fa ienˇ kiˊ,,,D0739_澎湖文化園區.mp3
公共設施,D0740,,澎湖天后宮,Má-tsóo-king,,,媽祖宮,piangˇ fuˇ tienˊ heu giungˊ,,,D0740_澎湖天后宮.mp3
公共設施,D0741,,澎湖二崁聚落,Jī-khàm,,,二崁,piangˇ fuˇ ngi kam qi log,,,D0741_澎湖二崁聚落.mp3
公共設施,D0742,,臺廈郊會館,Tâi-ē-kau Huē-kuán,,,,toiˇ ha gauˊ fi gonˋ,,,D0742_臺廈郊會館.mp3
公共設施,D0743,,漁翁島燈塔,Hû-ong-tóo Ting-thah,,,,ngˇ vungˊ doˋ denˊ toiˇ,,漁翁島燈臺,D0743_漁翁島燈塔.mp3
公共設施,D0744,,漁人碼頭,Hû-jîn Bé-thâu,,,,ngˇ nginˇ maˊ teuˇ,,,D0744_漁人碼頭.mp3
公共設施,D0745,,媽宮城隍廟,Má-king Sîng-hông-biō,,,,maˊ giungˊ sangˇ fongˇ meu,,,D0745_媽宮城隍廟.mp3
公共設施,D0746,,菜園海洋牧場,Tshài-hn̂g Hái-iûnn Bo̍k-tiûnn,,,,coi ienˇ hoiˋ iongˇ mug congˇ,,,D0746_菜園海洋牧場.mp3
公共設施,D0747,,菊島之星,Kiok-tóo tsi tshinn (Tuā-tsûn--ê),,,俗稱「大船」,kiugˋ doˋ ziiˊ senˊ,,,D0747_菊島之星.mp3
公共設施,D0748,,菊苑,Kiok-uán,,,,kiugˋ ien,,,D0748_菊苑.mp3
公共設施,D0749,,湖西拱北砲臺,Ôo-sai Kióng-pak Phàu-tâi,,,,fuˇ xiˊ giungˋ bedˋ pau toiˇ,,,D0749_湖西拱北砲臺.mp3
公共設施,D0750,,湖西辛家古宅,Ôo-sai Sin--ka Kóo-theh,,,,fuˇ xiˊ xinˊ gaˊ loˋ vugˋ,,湖西辛家老屋,D0750_湖西辛家古宅.mp3
公共設施,D0751,,通梁古榕,Thong-niû Kóo-tshîng,,,,tungˊ liongˇ guˋ iungˇ,,,D0751_通梁古榕.mp3
公共設施,D0752,,蛇頭山,Tsuâ-thâu-suann,,,,saˇ teuˇ sanˊ,,,D0752_蛇頭山.mp3
公共設施,D0753,,船帆嶼,Tsûn-phâng-sū,,,,sonˇ famˇ iˊ,,,D0753_船帆嶼.mp3
公共設施,D0754,,桶盤嶼蓮花座,Liân-hue-phûn,,,蓮花盆,tungˋ panˇ iˊ lienˇ faˊ co,,,D0754_桶盤嶼蓮花座.mp3
公共設施,D0755,,桶盤嶼地質公園,Tháng-puânn-sū Tuē-tsit Kong-hn̂g,,,,tungˋ panˇ iˊ ti ziidˋ gungˊ ienˇ,,,D0755_桶盤嶼地質公園.mp3
公共設施,D0756,,望夫石,Tsio̍h-lâng,,,石人；註：石人為原始稱呼，後來才附會作望夫石,mong fuˊsag,,,D0756_望夫石.mp3
公共設施,D0757,,馬公觀音亭,Kuan-im-tîng,,,觀音亭,maˊ gungˊ gonˊ imˊ tinˇ,,,D0757_馬公觀音亭.mp3
公共設施,D0758,,馬公風櫃尾荷蘭城堡,Hong-kuī-bé Hô-lân Siânn-pó,,,風櫃尾荷蘭城堡,maˊ gungˊ fungˊ kui miˊ hoˇ lanˇ sangˇ boˋ,,,D0758_馬公風櫃尾荷蘭城堡.mp3
公共設施,D0759,,馬公金龜頭砲臺,Kim-ku-thâu Phàu-tâi,,,金龜頭砲臺,maˊ gungˊ gimˊ guiˊ teuˇ pau toiˇ,,,D0759_馬公金龜頭砲臺.mp3
公共設施,D0760,,馬公東甲北極殿,Tang-kah-king,,,東甲宮,maˊ gungˊ dungˊ gabˋ bedˋ kid tien,,,D0760_馬公東甲北極殿.mp3
公共設施,D0761,,時裡沙灘,Sî-lí Hái-sua-kinn,,,嵵裡海沙墘,ciiˇ liˊ saˊ tanˊ,,,D0761_時裡沙灘.mp3
公共設施,D0762,,時裡古宅,Sî-lí Kóo-the̍h,,,,ciiˇ liˊ loˋ vugˋ,,時裡老屋,D0762_時裡古宅.mp3
公共設施,D0763,,員貝嶼,Uân-puè-sū,,,,ienˇ bi iˊ,,,D0763_員貝嶼.mp3
公共設施,D0764,,風櫃洞,Hong-kuī-tōng,,,,fungˊ kui tung,,,D0764_風櫃洞.mp3
公共設施,D0765,,軍人公墓,Kūn-lîn Kong-bōo,,,,giunˊ nginˇ gungˊ mu,,,D0765_軍人公墓.mp3
公共設施,D0766,,紅羅磚窯,Âng-nâ-tà Tsng-á-iô,,,紅羅罩磚仔窯,fungˇ loˇ zonˊ ieuˇ,,,D0766_紅羅磚窯.mp3
公共設施,D0767,,相對公園,Siong-tuī Kong-hn̂g,,,,xiongˊ dui gungˊienˇ,,,D0767_相對公園.mp3
公共設施,D0768,,查母嶼燈塔,Tsa-bóo-sū Ting-thah,,,,caˇ muˊ iˊ denˊtoiˇ,,查母嶼燈臺,D0768_查母嶼燈塔.mp3
公共設施,D0769,,查母嶼,Tsa-bóo-sū,,,,caˇ muˊ iˊ,,查母嶼,D0769_查母嶼.mp3
公共設施,D0770,,施公祠,Si-kong-sû,,,,siiˊ gungˊ ciiˇ,,,D0770_施公祠.mp3
