來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
臺灣鐵路站名,68,4080,嘉義,Ka-gī,,,,gaˊ ngi,,,68_嘉義.mp3
臺灣鐵路站名,69,4090,水上,Tsuí-siōng,,,又唸作Tsuí-siāng(漳)。,suiˋ song,,,69_水上.mp3
臺灣鐵路站名,70,4100,南靖,Lâm-tsīng,(Lâm-tsīng),,,namˇ qin,,現：namˇ jin,70_南靖.mp3
臺灣鐵路站名,71,4110,後壁,Āu-piah,,,,heu biagˋ,,,71_後壁.mp3
臺灣鐵路站名,72,4120,新營,Sin-iânn,,,,xinˊ iangˇ,,,72_新營.mp3
臺灣鐵路站名,73,4130,柳營,Liú-iânn,,,,liuˋ iangˇ,,現：liuˋiangˇ；「柳」liuˋ/liuˊ發音皆有。,73_柳營.mp3
臺灣鐵路站名,74,4140,林鳳營,Lîm-hōng-iânn,(Lîm-hōng-iânn),,,limˇ fung iangˇ,,,74_林鳳營.mp3
臺灣鐵路站名,75,4150,隆田,Liông-tiân,(Liông-tiân),,播音原誤作Liông-tshân，現已修正。,lungˇ tienˇ,,,75_隆田.mp3
臺灣鐵路站名,76,4160,拔林,Pa̍t-á-nâ,,菝仔林,播音原誤作Pua̍t-nâ，現已修正。,bad eˋ naˇ,朳仔林,現：bad limˇ。,76_拔林.mp3
臺灣鐵路站名,77,4170,善化,Siān-huà,,,,san fa,,,77_善化.mp3
臺灣鐵路站名,78,4180,南科,Lâm-kho,(Lâm-kho),,,namˇ koˊ,,,78_南科.mp3
臺灣鐵路站名,79,4190,新市,Sin-tshī,,,,xinˊ sii,,,79_新市.mp3
臺灣鐵路站名,80,4200,永康,Íng-khong,,,,iunˋ kongˊ,,,80_永康.mp3
臺灣鐵路站名,81,4210,大橋,Tuā-kiô,(Tuā-kiô),,,tai kieuˇ,,,81_大橋.mp3
臺灣鐵路站名,82,4220,臺南,Tâi-lâm,(Tâi-lâm),,,toiˇ namˇ,,,82_臺南_2.mp3
臺灣鐵路站名,83,4240,南臺南,Lâm-tâi-lâm,(Lâm-tâi-lâm),,,namˇ toiˇ namˇ,,,83_南臺南.mp3
臺灣鐵路站名,84,4250,保安,Pó-an,(Pó-an),,,boˋ onˊ,,,84_保安_1.mp3
臺灣鐵路站名,85,4260,仁德,Jîn-tik,Lîn-tik,,當地混合腔又唸作Lîn33-tik。,inˇ dedˋ,,,85_仁德.mp3
臺灣鐵路站名,86,4270,中洲,Tiong-tsiu,,,,zungˊ zuˊ,,,86_中洲.mp3
臺灣鐵路站名,87,4290,大湖,Tuā-ôo,,,,tai fuˇ,,,87_大湖.mp3
臺灣鐵路站名,88,4300,路竹,Lōo-tik,,,,lu zugˋ,,現：lug zugˋ,88_路竹.mp3
臺灣鐵路站名,89,4310,岡山,Kong-san,,,,gongˊ sanˊ,,,89_岡山.mp3
臺灣鐵路站名,90,4320,橋頭,Kiô-á-thâu,(Kiô-á-thâu),橋仔頭,現：Kiô-á-thâu、Kiô-thâu混用。,kieuˇ teuˇ,,,90_橋頭.mp3
臺灣鐵路站名,91,4330,楠梓,Lâm-á-khenn,Lâm-á-khinn,楠仔坑,採現。,namˇ ziiˋ,,,91_楠梓.mp3
臺灣鐵路站名,92,4340,新左營,Sin-tsó-iânn,(Sin-tsó-iânn),,,xinˊ zoˋ iangˇ,,,92_新左營_1.mp3
臺灣鐵路站名,93,4350,左營(舊城),Tsó-iânn (Kū-siânn),(Tsó-iânn (Kū-siânn)),,,zoˋ iangˇ (kiu sangˇ ),,,93_左營(舊城).mp3
臺灣鐵路站名,94,4360,內惟,Lāi-uî,,內圍,,nui viˇ,內圍,,94_內惟.mp3
臺灣鐵路站名,95,4370,美術館,Bí-su̍t-kuán,,,,miˊ sud gonˋ,,,95_美術館.mp3
臺灣鐵路站名,96,4380,鼓山,Kóo-san,,,,guˋ sanˊ,,,96_鼓山.mp3
臺灣鐵路站名,97,4390,三塊厝,Sann-tè-tshù,,,,samˊ kuai vugˋ,三塊屋,現：samˇ kui vugˋ；比照六塊厝統一譯法。,97_三塊厝.mp3
臺灣鐵路站名,98,4400,高雄,Ko-hiông,Ko-iông,,現：Ko33-iông。,goˊ hiungˇ,,,98_高雄.mp3
臺灣鐵路站名,99,3140,造橋,Tsō-kiô,(Tsō-kiô),,,co kieuˇ,,,99_造橋.mp3
臺灣鐵路站名,100,3150,豐富,Hong-hù,,,,fungˊ fu,,,100_豐富.mp3
